80 1 80 80 480
80 2 159 81 482
80 3 237 83 478
80 4 314 85 472
80 5 390 88 491
80 6 465 90 497
80 7 539 92 484
80 8 612 94 496
80 9 684 101 495
80 10 755 103 504
80 11 825 108 497
80 12 894 110 504
80 13 962 113 512
80 14 1029 117 520
80 15 1095 118 516
80 16 1160 127 536
80 17 1224 131 538
80 18 1287 132 544
80 19 1349 140 549
80 20 1410 142 553
80 21 1470 148 550
80 22 1529 150 549
80 23 1587 157 560
80 24 1644 160 566
80 25 1700 167 579
80 26 1755 172 576
80 27 1809 177 587
80 28 1862 187 592
80 29 1914 189 597
80 30 1965 191 597
80 31 2015 192 599
80 32 2064 208 613
80 33 2112 210 612
80 34 2159 213 620
80 35 2205 220 621
80 36 2250 224 634
80 37 2294 236 645
80 38 2337 233 632
80 39 2379 238 646
80 40 2420 240 649
80 41 2460 249 668
80 42 2499 257 664
80 43 2537 262 672
80 44 2574 269 680
80 45 2610 275 685
80 46 2645 278 687
80 47 2679 285 688
80 48 2712 288 694
80 49 2744 300 712
80 50 2775 296 713
80 51 2805 307 721
80 52 2834 315 723
80 53 2862 324 728
80 54 2889 328 728
80 55 2915 321 728
80 56 2940 339 752
80 57 2964 339 746
80 58 2987 343 757
80 59 3009 362 777
80 60 3030 360 772
80 61 3050 371 774
80 62 3069 370 785
80 63 3087 377 785
80 64 3104 380 794
80 65 3120 386 792
80 66 3135 396 804
80 67 3149 406 816
80 68 3162 420 832
80 69 3174 419 817
80 70 3185 419 838
80 71 3195 426 840
80 72 3204 431 838
80 73 3212 452 868
80 74 3219 450 857
80 75 3225 447 854
80 76 3230 464 871
80 77 3234 465 877
80 78 3237 475 884
80 79 3239 485 894
80 80 3240 493 908
